id,web_name,club,pos,price,own
334,Muharemović,LEE,DEF,5.0,1.3
335,Stach,LEE,MID,6.0,1.4
336,Okafor,LEE,MID,6.0,0.7
337,Aaronson,LEE,MID,5.5,0.7
338,Ampadu,LEE,MID,5.5,1.4
339,Longstaff,LEE,MID,5.0,0.2
340,Gelhardt,LEE,MID,5.0,0.0
341,Gnonto,LEE,MID,5.0,0.1
342,Harrison,LEE,MID,5.0,0.0
343,James,LEE,MID,5.0,0.1
344,Gruev,LEE,MID,5.0,0.0
345,Tanaka,LEE,MID,5.0,0.3
346,Calvert-Lewin,LEE,FWD,6.0,21.3
347,Nmecha,LEE,FWD,5.5,0.6
348,Piroe,LEE,FWD,5.0,0.5
349,Mateo Joseph,LEE,FWD,4.5,0.3
350,A.Becker,LIV,GKP,5.5,4.1
351,Mamardashvili,LIV,GKP,5.0,0.2
352,Woodman,LIV,GKP,4.0,1.3
353,Pecsi,LIV,GKP,4.0,0.1
354,Jaros,LIV,GKP,4.0,0.0
355,Davies,LIV,GKP,4.0,0.1
356,Virgil,LIV,DEF,6.5,16.2
357,Frimpong,LIV,DEF,5.5,3.0
358,Kerkez,LIV,DEF,5.5,5.9
359,Gomez,LIV,DEF,5.0,0.1
360,Bradley,LIV,DEF,5.0,0.0
361,Lucky,LIV,DEF,4.0,0.1
362,Jacquet,LIV,DEF,5.0,2.0
363,Leoni,LIV,DEF,4.0,0.1
364,Tsimikas,LIV,DEF,5.0,0.1
365,Ramsay,LIV,DEF,4.0,0.2
366,Wirtz,LIV,MID,7.5,11.8
367,Gakpo,LIV,MID,7.0,3.5
368,Szoboszlai,LIV,MID,7.0,47.6
369,Ngumoha,LIV,MID,6.0,1.7
370,Chiesa,LIV,MID,5.5,0.2
371,Gravenberch,LIV,MID,6.0,1.9
372,Mac Allister,LIV,MID,5.5,1.9
373,C.Jones,LIV,MID,5.5,0.1
374,Endo,LIV,MID,5.0,0.0
375,Nyoni,LIV,MID,5.0,0.1
376,Bajcetic,LIV,MID,5.0,0.0
377,Munoz,LIV,MID,6.5,0.8
378,McConnell,LIV,MID,4.5,0.2
379,Isak,LIV,FWD,9.0,11.3
380,Ekitiké,LIV,FWD,7.5,0.2
381,Koumas,LIV,MID,5.0,0.0
382,Danns,LIV,FWD,4.5,0.1
383,Elliott,LIV,MID,5.5,0.1
238,Grealish,MCI,MID,6.5,0.2
384,Donnarumma,MCI,GKP,5.5,11.1
385,Trafford,MCI,GKP,5.0,1.4
386,Bettinelli,MCI,GKP,4.5,0.0
387,O'Reilly,MCI,DEF,6.5,22.9
388,Guéhi,MCI,DEF,6.0,24.0
389,Matheus N.,MCI,DEF,6.0,5.0
390,Rúben,MCI,DEF,5.5,1.4
391,Gvardiol,MCI,DEF,5.5,10.7
392,Aït-Nouri,MCI,DEF,5.5,0.9
393,Khusanov,MCI,DEF,5.5,2.0
394,Alleyne,MCI,DEF,5.0,0.0
395,Lewis,MCI,DEF,4.5,0.2
396,Vitor Reis,MCI,DEF,4.5,0.0
397,Semenyo,MCI,MID,8.5,22.0
398,Foden,MCI,MID,7.0,7.6
399,Cherki,MCI,MID,7.5,9.4
400,Doku,MCI,MID,7.5,6.4
401,Marmoush,MCI,FWD,7.0,0.7
402,Rodrigo,MCI,MID,6.5,0.1
403,Savinho,MCI,MID,6.5,0.1
404,Reijnders,MCI,MID,6.0,0.4
405,N.Gonzalez,MCI,MID,5.5,0.1
406,Kovačić,MCI,MID,5.5,0.0
407,Echeverri,MCI,MID,5.0,0.0
408,Phillips,MCI,MID,5.0,0.0
409,Mukasa,MCI,MID,4.5,0.1
410,Monga,MCI,MID,5.0,0.0
411,Haaland,MCI,FWD,15.5,75.0
481,Anderson,MCI,MID,6.5,11.8
43,Tielemans,MUN,MID,6.0,0.9
162,Andrey Santos,MUN,MID,5.0,1.5
325,Darlow,MUN,GKP,4.5,0.1
412,Lammens,MUN,GKP,5.0,20.2
413,Bayindir,MUN,GKP,4.5,0.2
414,Heaton,MUN,GKP,4.0,0.3
415,Dorgu,MUN,MID,6.0,1.8
416,De Ligt,MUN,DEF,5.0,0.0
417,Dalot,MUN,DEF,5.0,3.1
418,Maguire,MUN,DEF,5.0,7.8
419,Martinez,MUN,DEF,5.0,0.7
420,Yoro,MUN,DEF,5.0,0.6
